강원평,SCIENCEON,한국건설기술연구원 도로교통연구실,,,,,
강원평,KCI,한국건설기술연구원,, Edmonton, Canada,,
고진석,KCI,한국기술교육대학교,, Abeokuta, Nigeria,,
김남호,KCI,부경대학교,, Department of Electrical and Computer Engineering, Vancouver, BC, Canada Canada</cou
김도완,SCIENCEON,(주)건화 도로공항부 2팀,,,,,
김도완,KCI,(주)건화,,,,,
김영달,SCIENCEON,Dept. of Electrical Engineering, Hanbat National University, India,,,
김영달,KCI,한밭대학교,, Technische Universitat Dortmund, Dortmund, Germany,
김창완,SCIENCEON,동아대학교,, Rice Univ., Houston, TX, USA
김창완,KCI,동아대학교,, Technology and Research),Institute of Microelectronics,Singapore,
김희승,KCI,Samsung Electro-Mechanics,,,,,
나완수,SCIENCEON,성균관대학교 전자전기컴퓨터공학과,,,,,
나완수,KCI,성균관대학교,,,,,
남상원,NTIS,한양대학교,,,,,
박성민,SCIENCEON,이화여자대학교 공과대학 전자공학과,,,,,
박성민,KCI,이화여자대학교,,,,,
박호종,SCIENCEON,광운대학교,,,,,
손진근,SCIENCEON,가천대학교 전기공학과,,,,,
손진근,KCI,가천대학교,,,,,
송제선,NTIS,연세대학교 산학협력단,,,,,
신재욱,NTIS,순천향대학교,,,,,
안덕순,SCIENCEON,한국건설기술연구원 도로연구실,,,,,
안덕순,KCI,한국건설기술연구원,,,,,
오동호,NTIS,충남대학교산학협력단,,,,,
왕세명,NTIS,광주과학기술원,,,,,
이재희,KCI,Hallym University of Graduate Studies,,,,,
이준,KCI,한국교통연구원,,,,,
임창목,KCI,(주)이레아이에스,,,,,
정규혁,KCI,단국대학교,,,,,
조재걸,SCIENCEON,Dept. of Medical and Mechatronics Engineering, Soonchunhyang University,,,,
조재걸,KCI,순천향대학교,,,,,
차재상,KCI,서울과학기술대학교,,,,,
천장율,KCI,서울시립대학교,,,,,
천창율,SCIENCEON,University of Seoul, Dept. of Electrical and Computer Engineering,,,,
